Name	gene	Chromosome
YDR453C	TSA2	4
YDR454C	GUK1	4
YDR456W	NHX1	4
YDR457W	TOM1	4
YDR458C	HEH2	4
YDR459C	PFA5	4
YDR460W	TFB3	4
YDR461W	MFA1	4
YDR462W	MRPL28	4
YDR463W	STP1	4
YDR464W	SPP41	4
YDR465C	RMT2	4
YDR466W	PKH3	4
YDR468C	TLG1	4
YDR469W	SDC1	4
YDR470C	UGO1	4
YDR471W	RPL27B	4
YDR472W	TRS31	4
YDR473C	PRP3	4
YDR475C	JIP4	4
YDR477W	SNF1	4
YDR478W	SNM1	4
YDR479C	PEX29	4
YDR480W	DIG2	4
YDR481C	PHO8	4
YDR482C	CWC21	4
YDR483W	KRE2	4
YDR484W	VPS52	4
YDR485C	VPS72	4
YDR486C	VPS60	4
YDR487C	RIB3	4
YDR488C	PAC11	4
YDR489W	SLD5	4
YDR490C	PKH1	4
YDR492W	IZH1	4
YDR493W	MZM1	4
YDR494W	RSM28	4
YDR495C	VPS3	4
YDR496C	PUF6	4
YDR497C	ITR1	4
YDR498C	SEC20	4
YDR499W	LCD1	4
YDR500C	RPL37B	4
YDR501W	PLM2	4
YDR502C	SAM2	4
YDR503C	LPP1	4
YDR504C	SPG3	4
YDR505C	PSP1	4
YDR506C	GMC1	4
YDR507C	GIN4	4
YDR508C	GNP1	4
YDR510W	SMT3	4
YDR511W	SDH7	4
YDR513W	GRX2	4
YDR514C		4
YDR515W	SLF1	4
YDR516C	EMI2	4
YDR517W	GRH1	4
YDR518W	EUG1	4
YDR519W	FPR2	4
YDR522C	SPS2	4
YDR523C	SPS1	4
YDR524C	AGE1	4
YDR525W-A	SNA2	4
YDR527W	RBA50	4
YDR528W	HLR1	4
YDR529C	QCR7	4
YDR530C	APA2	4
YDR531W	CAB1	4
YDR532C	KRE28	4
YDR533C	HSP31	4
YDR534C	FIT1	4
YDR536W	STL1	4
YDR538W	PAD1	4
YDR539W	FDC1	4
YDR541C		4
YJL223C	PAU1	9
YIL166C	SOA1	9
YIL162W	SUC2	9
YIL160C	POT1	9
YIL159W	BNR1	9
YIL158W	AIM20	9
YIL157C	COA1	9
YIL156W-B	MCO8	9
YIL156W	UBP7	9
YIL155C	GUT2	9
YIL154C	IMP2'	9
YIL153W	RRD1	9
YIL151C	ESL1	9
YIL150C	MCM10	9
YIL149C	MLP2	9
YIL148W	RPL40A	9
YIL147C	SLN1	9
YIL146C	ATG32	9
YIL145C	PAN6	9
YIL144W	NDC80	9
YIL143C	SSL2	9
YIL142W	CCT2	9
YIL140W	AXL2	9
YIL139C	REV7	9
YIL138C	TPM2	9
YIL137C	TMA108	9
YIL136W	OM45	9
YIL135C	VHS2	9
YIL134W	FLX1	9
YIL133C	RPL16A	9
YIL132C	CSM2	9
YIL131C	FKH1	9
YIL130W	ASG1	9
YIL129C	TAO3	9
YIL128W	MET18	9
YIL126W	STH1	9
YIL125W	KGD1	9
YIL124W	AYR1	9
YIL123W	SIM1	9
YIL122W	POG1	9
YIL120W	QDR1	9
YIL119C	RPI1	9
YIL118W	RHO3	9
YIL117C	PRM5	9
YIL116W	HIS5	9
YIL115C	NUP159	9
YIL114C	POR2	9
YIL113W	SDP1	9
YIL112W	HOS4	9
YIL111W	COX5B	9
YIL110W	HPM1	9
YIL109C	SEC24	9
YIL108W		9
YIL107C	PFK26	9
YIL106W	MOB1	9
YIL105C	SLM1	9
YIL104C	SHQ1	9
YIL103W	DPH1	9
YIL101C	XBP1	9
YIL099W	SGA1	9
YIL098C	FMC1	9
YIL097W	FYV10	9
YIL096C	BMT5	9
YIL095W	PRK1	9
YIL094C	LYS12	9
YIL093C	RSM25	9
YIL091C	UTP25	9
YIL090W	ICE2	9
YIL089W		9
YIL088C	AVT7	9
YIL087C	AIM19	9
YIL085C	KTR7	9
YIL084C	SDS3	9
YIL083C	CAB2	9
YIL079C	AIR1	9
YIL078W	THS1	9
YIL076W	SEC28	9
YIL075C	RPN2	9
YIL074C	SER33	9
YIL073C	SPO22	9
YIL072W	HOP1	9
YIL071C	PCI8	9
YIL070C	MAM33	9
YIL069C	RPS24B	9
YIL068C	SEC6	9
YIL066C	RNR3	9
YIL065C	FIS1	9
YIL064W	EFM4	9
YIL063C	YRB2	9
YIL062C	ARC15	9
YIL061C	SNP1	9
YIL057C	RGI2	9
YIL056W	VHR1	9
YIL053W	GPP1	9
YIL052C	RPL34B	9
YIL051C	MMF1	9
YIL050W	PCL7	9
YIL049W	DFG10	9
YIL048W	NEO1	9
YIL047C	SYG1	9
YIL046W	MET30	9
YIL045W	PIG2	9
YIL044C	AGE2	9
YIL043C	CBR1	9
YIL042C	PKP1	9
YIL041W	GVP36	9
YIL040W	APQ12	9
YIL039W	TED1	9
YIL038C	NOT3	9
YIL037C	PRM2	9
YIL036W	CST6	9
YIL035C	CKA1	9
YIL034C	CAP2	9
YIL033C	BCY1	9
YIL031W	ULP2	9
YIL030C	SSM4	9
YIL027C	EMC5	9
YIL026C	IRR1	9
YIL023C	YKE4	9
YIL022W	TIM44	9
YIL021W	RPB3	9
YIL020C	HIS6	9
YIL019W	FAF1	9
YIL018W	RPL2B	9
YIL017C	VID28	9
YIL016W	SNL1	9
YIL015W	BAR1	9
YIL014W	MNT3	9
YIL013C	PDR11	9
YIL011W	TIR3	9
YIL010W	DOT5	9
YIL009C-A	EST3	9
YIL009W	FAA3	9
YIL008W	URM1	9
YIL007C	NAS2	9
YIL006W	YIA6	9
YIL005W	EPS1	9
YIL004C	BET1	9
YIL003W	CFD1	9
YIL002C	INP51	9
YIR001C	SGN1	9
YIR002C	MPH1	9
YIR003W	AIM21	9
YIR004W	DJP1	9
YIR005W	IST3	9
YIR006C	PAN1	9
YIR007W	EGH1	9
YIR008C	PRI1	9
YIR009W	MSL1	9
YIR010W	DSN1	9
YIR011C	STS1	9
YIR012W	SQT1	9
YIR013C	GAT4	9
YIR014W	VLD1	9
YIR015W	RPR2	9
YIR018W	YAP5	9
YIR019C	FLO11	9
YIR021W	MRS1	9
YIR022W	SEC11	9
YIR023W	DAL81	9
YIR025W	MND2	9
YIR026C	YVH1	9
YIR027C	DAL1	9
YIR028W	DAL4	9
YIR029W	DAL2	9
YIR030C	DCG1	9
YIR031C	DAL7	9
YIR032C	DAL3	9
YIR033W	MGA2	9
YIR034C	LYS1	9
YIR036C	IRC24	9
YIR037W	HYR1	9
YIR038C	GTT1	9
YIR039C	YPS6	9
YIR041W	PAU15	9
YDR542W	PAU10	1
YAL067C	SEO1	1
YAL062W	GDH3	1
YAL060W	BDH1	1
YAL058W	CNE1	1
YAL056W	GPB2	1
YAL055W	PEX22	1
YAL054C	ACS1	1
YAL053W	FLC2	1
YAL051W	OAF1	1
YAL049C	AIM2	1
YAL048C	GEM1	1
YAL047C	SPC72	1
YAL046C	BOL3	1
YAL044W-A	BOL1	1
YAL044C	GCV3	1
YAL043C	PTA1	1
YAL042W	ERV46	1
YAL041W	CDC24	1
YAL040C	CLN3	1
YAL039C	CYC3	1
YAL038W	CDC19	1
YAL036C	RBG1	1
YAL035W	FUN12	1
YAL034W-A	MTW1	1
YAL034C	FUN19	1
YAL033W	POP5	1
YAL031C	GIP4	1
YAL030W	SNC1	1
YAL029C	MYO4	1
YAL028W	FRT2	1
YAL027W	SAW1	1
YAL026C	DRS2	1
YAL025C	MAK16	1
YAL024C	LTE1	1
YAL023C	PMT2	1
YAL022C	FUN26	1
YAL021C	CCR4	1
YAL020C	ATS1	1
YAL019W	FUN30	1
YAL018C	LDS1	1
YAL017W	PSK1	1
YAL016W	TPD3	1
YAL015C	NTG1	1
YAL014C	SYN8	1
YAL013W	DEP1	1
YAL012W	CYS3	1
YAL011W	SWC3	1
YAL010C	MDM10	1
YAL009W	SPO7	1
YAL008W	FUN14	1
YAL007C	ERP2	1
YAL005C	SSA1	1
YAL003W	EFB1	1
YAL002W	VPS8	1
YAL001C	TFC3	1
YAR002W	NUP60	1
YAR002C-A	ERP1	1
YAR003W	SWD1	1
YAR007C	RFA1	1
YAR008W	SEN34	1
YAR014C	BUD14	1
YAR015W	ADE1	1
YAR018C	KIN3	1
YAR019C	CDC15	1
YGL053W	PRM8	1
YAR033W	MST28	1
YAR035W	YAT1	1
YAR042W	SWH1	1
YAR050W	FLO1	1
YAR071W	PHO11	1
YHR216W	IMD2	1
Q0080	ATP8	mitoch
Q0130	OLI1	mitoch
Q0080	ATP8	mitoch
Q0130	OLI1	mitoch
YAL068C	PAU8	7
YGL258W	VEL1	7
YGL257C	MNT2	7
YGL256W	ADH4	7
YGL255W	ZRT1	7
YGL254W	FZF1	7
YGL253W	HXK2	7
YGL252C	RTG2	7
YGL251C	HFM1	7
YGL250W	RMR1	7
YGL249W	ZIP2	7
YGL248W	PDE1	7
YGL247W	BRR6	7
YGL246C	RAI1	7
YGL245W	GUS1	7
YGL244W	RTF1	7
YGL242C		7
YGL241W	KAP114	7
YGL240W	DOC1	7
YGL238W	CSE1	7
YGL237C	HAP2	7
YGL236C	MTO1	7
YGL234W	ADE5%2C7	7
YGL233W	SEC15	7
YGL232W	TAN1	7
YGL231C	EMC4	7
YGL229C	SAP4	7
YGL228W	SHE10	7
YGL227W	VID30	7
YGL226C-A	OST5	7
YGL226W	MTC3	7
YGL225W	VRG4	7
YGL224C	SDT1	7
YGL223C	COG1	7
YGL222C	EDC1	7
YGL221C	NIF3	7
YGL220W	BOL2	7
YGL219C	MDM34	7
YGL216W	KIP3	7
YGL215W	CLG1	7
YGL213C	SKI8	7
YGL212W	VAM7	7
YGL211W	NCS6	7
YGL210W	YPT32	7
YGL209W	MIG2	7
YGL208W	SIP2	7
YGL207W	SPT16	7
YGL206C	CHC1	7
YGL205W	POX1	7
YGL204C		7
YGL203C	KEX1	7
YGL202W	ARO8	7
YGL201C	MCM6	7
YGL200C	EMP24	7
YGL198W	YIP4	7
YGL197W	MDS3	7
YGL196W	DSD1	7
YGL195W	GCN1	7
YGL194C	HOS2	7
YGL192W	IME4	7
YGL191W	COX13	7
YGL190C	CDC55	7
YGL189C	RPS26A	7
YGL187C	COX4	7
YGL186C	TPN1	7
YGL184C	STR3	7
YGL183C	MND1	7
YGL181W	GTS1	7
YGL180W	ATG1	7
YGL179C	TOS3	7
YGL178W	MPT5	7
YGL175C	SAE2	7
YGL174W	BUD13	7
YGL173C	XRN1	7
YGL172W	NUP49	7
YGL171W	ROK1	7
YGL170C	SPO74	7
YGL169W	SUA5	7
YGL168W	HUR1	7
YGL167C	PMR1	7
YGL166W	CUP2	7
YGL164C	YRB30	7
YGL163C	RAD54	7
YGL162W	SUT1	7
YGL161C	YIP5	7
YGL160W	AIM14	7
YGL158W	RCK1	7
YGL157W	ARI1	7
YGL156W	AMS1	7
YGL155W	CDC43	7
YGL154C	LYS5	7
YGL153W	PEX14	7
YGL151W	NUT1	7
YGL150C	INO80	7
YGL148W	ARO2	7
YGL147C	RPL9A	7
YGL146C	RRT6	7
YGL145W	TIP20	7
YGL144C	ROG1	7
YGL143C	MRF1	7
YGL142C	GPI10	7
YGL141W	HUL5	7
YGL139W	FLC3	7
YHL047C	ARN2	8
YBL108C-A	PAU9	8
YHL046C	PAU13	8
YHL040C	ARN1	8
YHL039W	EFM1	8
YHL038C	CBP2	8
YHL036W	MUP3	8
YHL035C	VMR1	8
YHL034C	SBP1	8
YHL033C	RPL8A	8
YHL032C	GUT1	8
YHL031C	GOS1	8
YHL030W	ECM29	8
YHL028W	WSC4	8
YHL027W	RIM101	8
YHL025W	SNF6	8
YHL024W	RIM4	8
YHL023C	NPR3	8
YHL022C	SPO11	8
YHL021C	AIM17	8
YHL020C	OPI1	8
YHL019C	APM2	8
YHL016C	DUR3	8
YHL015W	RPS20	8
YHL014C	YLF2	8
YHL013C	OTU2	8
YHL011C	PRS3	8
YHL010C	ETP1	8
YHL009C	YAP3	8
YHL007C	STE20	8
YHL006C	SHU1	8
YHL004W	MRP4	8
YHL003C	LAG1	8
YHL002W	HSE1	8
YHL001W	RPL14B	8
YHR001W	OSH7	8
YHR001W-A	QCR10	8
YHR002W	LEU5	8
YHR003C	TCD1	8
YHR004C	NEM1	8
YHR005C	GPA1	8
YHR005C-A	TIM10	8
YHR006W	STP2	8
YHR007C	ERG11	8
YHR008C	SOD2	8
YHR009C	TDA3	8
YHR010W	RPL27A	8
YHR011W	DIA4	8
YHR012W	VPS29	8
YHR013C	ARD1	8
YHR014W	SPO13	8
YHR015W	MIP6	8
YHR016C	YSC84	8
YHR017W	YSC83	8
YHR018C	ARG4	8
YHR019C	DED81	8
YHR020W		8
YHR021C	RPS27B	8
YHR023W	MYO1	8
YHR024C	MAS2	8
YHR025W	THR1	8
YHR026W	VMA16	8
YHR027C	RPN1	8
YHR028C	DAP2	8
YHR029C	YHI9	8
YHR030C	SLT2	8
YHR031C	RRM3	8
YHR034C	PIH1	8
YHR035W	NEL1	8
YHR036W	BRL1	8
YHR037W	PUT2	8
YHR038W	RRF1	8
YHR039C	MSC7	8
YHR039C-A	VMA10	8
YHR040W	BCD1	8
YHR041C	SRB2	8
YHR042W	NCP1	8
YHR043C	DOG2	8
YHR044C	DOG1	8
YHR046C	INM1	8
YHR047C	AAP1	8
YHR049W	FSH1	8
YHR050W	SMF2	8
YHR051W	COX6	8
YHR052W	CIC1	8
YHR054C-B		8
YHR055C	CUP1-2	8
YHR056C	RSC30	8
YHR057C	CPR2	8
YHR058C	MED6	8
YHR059W	FYV4	8
YHR060W	VMA22	8
YHR061C	GIC1	8
YHR062C	RPP1	8
YHR063C	PAN5	8
YHR064C	SSZ1	8
YHR065C	RRP3	8
YHR066W	SSF1	8
YHR067W	HTD2	8
YHR068W	DYS1	8
YHR069C	RRP4	8
YHR070W	TRM5	8
YHR071W	PCL5	8
YHR072W	ERG7	8
YHR072W-A	NOP10	8
YHR073W	OSH3	8
YHR074W	QNS1	8
YHR075C	PPE1	8
YHR076W	PTC7	8
YHR077C	NMD2	8
YHR079C	IRE1	8
YHR079C-A	SAE3	8
YHR080C	LAM4	8
YHR081W	LRP1	8
YHR082C	KSP1	8
YHR083W	SAM35	8
YHR084W	STE12	8
YHR085W	IPI1	8
YHR086W	NAM8	8
YHR087W	RTC3	8
YHR088W	RPF1	8
YHR089C	GAR1	8
YHR090C	YNG2	8
YHR091C	MSR1	8
YHR092C	HXT4	8
YHR094C	HXT1	8
YHR096C	HXT5	8
YHR097C	PAL2	8
YHR098C	SFB3	8
YHR099W	TRA1	8
YHR100C	GEP4	8
YHR101C	BIG1	8
YHR102W	KIC1	8
YHR103W	SBE22	8
YHR104W	GRE3	8
YHR105W	YPT35	8
YHR106W	TRR2	8
YHR107C	CDC12	8
YHR108W	GGA2	8
YHR109W	CTM1	8
YHR110W	ERP5	8
YHR111W	UBA4	8
YHR112C		8
YHR113W	APE4	8
YHR114W	BZZ1	8
YHR115C	DMA1	8
YHR116W	COX23	8
YHR117W	TOM71	8
YHR118C	ORC6	8
YHR119W	SET1	8
YHR120W	MSH1	8
YHR121W	LSM12	8
YHR122W	CIA2	8
YHR123W	EPT1	8
YHR124W	NDT80	8
YHR127W		8
YHR128W	FUR1	8
YHR129C	ARP1	8
YHR132C	ECM14	8
YHR132W-A	IGO2	8
YHR133C	NSG1	8
YHR134W	WSS1	8
YHR135C	YCK1	8
YHR136C	SPL2	8
YHR137W	ARO9	8
YHR138C		8
YHR139C	SPS100	8
YHR141C	RPL42B	8
YHR142W	CHS7	8
YHR143W	DSE2	8
YHR143W-A	RPC10	8
YHR144C	DCD1	8
YHR146W	CRP1	8
YHR147C	MRPL6	8
YHR148W	IMP3	8
YHR149C	SKG6	8
YHR150W	PEX28	8
YHR151C	MTC6	8
YHR152W	SPO12	8
YHR153C	SPO16	8
YHR154W	RTT107	8
YHR155W	LAM1	8
YHR156C	LIN1	8
YHR157W	REC104	8
YHR158C	KEL1	8
YHR160C	PEX18	8
YHR161C	YAP1801	8
YHR162W	MPC2	8
YHR163W	SOL3	8
YHR164C	DNA2	8
YHR165C	PRP8	8
YHR166C	CDC23	8
YHR167W	THP2	8
YHR168W	MTG2	8
YHR169W	DBP8	8
YHR170W	NMD3	8
YHR171W	ATG7	8
YHR172W	SPC97	8
YHR174W	ENO2	8
YHR176W	FMO1	8
YHR177W	ROF1	8
YHR178W	STB5	8
YHR179W	OYE2	8
YHR181W	SVP26	8
YHR182W	RGD3	8
YHR183W	GND1	8
YHR184W	SSP1	8
YHR186C	KOG1	8
YHR187W	IKI1	8
YHR188C	GPI16	8
YHR189W	PTH1	8
YHR190W	ERG9	8
YHR191C	CTF8	8
YHR192W	LNP1	8
YHR193C	EGD2	8
YHR194W	MDM31	8
YHR195W	NVJ1	8
YHR196W	UTP9	8
YHR197W	RIX1	8
YHR198C	AIM18	8
YHR199C	AIM46	8
YHR199C-A	NBL1	8
YHR200W	RPN10	8
YHR201C	PPX1	8
YHR203C	RPS4B	8
YHR204W	MNL1	8
YHR205W	SCH9	8
YHR206W	SKN7	8
YHR207C	SET5	8
YHR208W	BAT1	8
YHR209W	CRG1	8
YGL130W	CEG1	7
YGL129C	RSM23	7
YGL128C	CWC23	7
YGL127C	SOH1	7
YGL126W	SCS3	7
YGL125W	MET13	7
YGL124C	MON1	7
YGL123W	RPS2	7
YGL122C	NAB2	7
YGL121C	GPG1	7
YGL120C	PRP43	7
YGL119W	COQ8	7
YGL116W	CDC20	7
YGL115W	SNF4	7
YGL113W	SLD3	7
YGL112C	TAF6	7
YGL111W	NSA1	7
YGL110C	CUE3	7
YGL108C		7
YGL107C	RMD9	7
YGL106W	MLC1	7
YGL105W	ARC1	7
YGL104C	VPS73	7
YGL103W	RPL28	7
YGL101W	YGK1	7
YGL100W	SEH1	7
YGL099W	LSG1	7
YGL098W	USE1	7
YGL097W	SRM1	7
YGL096W	TOS8	7
YGL095C	VPS45	7
YGL094C	PAN2	7
YGL093W	SPC105	7
YGL092W	NUP145	7
YGL091C	NBP35	7
YGL090W	LIF1	7
YGL089C	MF%28ALPHA%292	7
YGL087C	MMS2	7
YGL086W	MAD1	7
YGL084C	GUP1	7
YGL083W	SCY1	7
YGL080W	MPC1	7
YGL079W	KXD1	7
YGL078C	DBP3	7
YGL077C	HNM1	7
YGL076C	RPL7A	7
YGL075C	MPS2	7
YGL073W	HSF1	7
YGL071W	AFT1	7
YGL070C	RPB9	7
YGL068W	MNP1	7
YGL067W	NPY1	7
YGL066W	SGF73	7
YGL065C	ALG2	7
YGL064C	MRH4	7
YGL063W	PUS2	7
YGL062W	PYC1	7
YGL061C	DUO1	7
YGL060W	YBP2	7
YGL059W	PKP2	7
YGL058W	RAD6	7
YGL057C	GEP7	7
YGL056C	SDS23	7
YGL055W	OLE1	7
YGL054C	ERV14	7
YGL050W	TYW3	7
YGL049C	TIF4632	7
YGL048C	RPT6	7
YGL047W	ALG13	7
YGL045W	RIM8	7
YGL044C	RNA15	7
YGL043W	DST1	7
YGL040C	HEM2	7
YGL039W		7
YGL038C	OCH1	7
YGL037C	PNC1	7
YGL035C	MIG1	7
YGL033W	HOP2	7
YGL032C	AGA2	7
YGL031C	RPL24A	7
YGL030W	RPL30	7
YGL029W	CGR1	7
YGL028C	SCW11	7
YGL027C	CWH41	7
YGL026C	TRP5	7
YGL025C	PGD1	7
YGL023C	PIB2	7
YGL022W	STT3	7
YGL021W	ALK1	7
YGL020C	GET1	7
YGL019W	CKB1	7
YGL018C	JAC1	7
YGL017W	ATE1	7
YGL016W	KAP122	7
YGL015C	BIL2	7
YGL014W	PUF4	7
YGL013C	PDR1	7
YGL012W	ERG4	7
YGL011C	SCL1	7
YGL010W	MPO1	7
YGL009C	LEU1	7
YGL008C	PMA1	7
YGL006W	PMC1	7
YGL005C	COG7	7
YGL004C	RPN14	7
YGL003C	CDH1	7
YGL002W	ERP6	7
YGL001C	ERG26	7
YGR001C	EFM5	7
YGR002C	SWC4	7
YGR003W	CUL3	7
YGR004W	PEX31	7
YGR005C	TFG2	7
YGR006W	PRP18	7
YGR007W	ECT1	7
YGR008C	STF2	7
YGR009C	SEC9	7
YGR010W	NMA2	7
YGR012W	MCY1	7
YGR013W	SNU71	7
YGR014W	MSB2	7
YGR019W	UGA1	7
YGR020C	VMA7	7
YGR023W	MTL1	7
YGR024C	THG1	7
YGR027C	RPS25A	7
YGR028W	MSP1	7
YGR029W	ERV1	7
YGR030C	POP6	7
YGR031W	IMO32	7
YGR031C-A	NAG1	7
YGR032W	GSC2	7
YGR033C	TIM21	7
YGR034W	RPL26B	7
YGR036C	CAX4	7
YGR037C	ACB1	7
YGR038W	ORM1	7
YGR040W	KSS1	7
YGR041W	BUD9	7
YGR042W	MTE1	7
YGR043C	NQM1	7
YGR044C	RME1	7
YGR046W	TAM41	7
YGR047C	TFC4	7
YGR048W	UFD1	7
YGR049W	SCM4	7
YGR054W		7
YGR055W	MUP1	7
YGR056W	RSC1	7
YGR057C	LST7	7
YGR058W	PEF1	7
YGR059W	SPR3	7
YGR060W	ERG25	7
YGR061C	ADE6	7
YGR062C	COX18	7
YGR063C	SPT4	7
YGR065C	VHT1	7
YGR066C	GID10	7
YGR068C	ART5	7
YGR070W	ROM1	7
YGR071C	ENV11	7
YGR072W	UPF3	7
YGR074W	SMD1	7
YGR075C	PRP38	7
YGR076C	MRPL25	7
YGR077C	PEX8	7
YGR078C	PAC10	7
YGR079W		7
YGR080W	TWF1	7
YGR081C	SLX9	7
YGR082W	TOM20	7
YGR083C	GCD2	7
YGR084C	MRP13	7
YGR085C	RPL11B	7
YGR086C	PIL1	7
YGR087C	PDC6	7
YGR088W	CTT1	7
YGR089W	NNF2	7
YGR090W	UTP22	7
YGR091W	PRP31	7
YGR092W	DBF2	7
YGR093W	DRN1	7
YGR094W	VAS1	7
YGR095C	RRP46	7
YGR096W	TPC1	7
YGR097W	ASK10	7
YGR098C	ESP1	7
YGR099W	TEL2	7
YGR100W	MDR1	7
YGR101W	PCP1	7
YGR102C	GTF1	7
YGR103W	NOP7	7
YGR104C	SRB5	7
YGR105W	VMA21	7
YGR106C	VOA1	7
YGR108W	CLB1	7
YGR109C	CLB6	7
YGR110W	CLD1	7
YGR112W	SHY1	7
YGR113W	DAM1	7
YGR116W	SPT6	7
YGR118W	RPS23A	7
YGR119C	NUP57	7
YGR120C	COG2	7
YGR121C	MEP1	7
YGR122W		7
YGR123C	PPT1	7
YGR124W	ASN2	7
YGR125W	VSB1	7
YGR128C	UTP8	7
YGR129W	SYF2	7
YGR130C		7
YGR131W	FHN1	7
YGR132C	PHB1	7
YGR133W	PEX4	7
YGR134W	CAF130	7
YGR135W	PRE9	7
YGR136W	LSB1	7
YGR138C	TPO2	7
YGR141W	VPS62	7
YGR142W	BTN2	7
YGR143W	SKN1	7
YGR144W	THI4	7
YGR145W	ENP2	7
YGR146C	ECL1	7
YGR147C	NAT2	7
YGR148C	RPL24B	7
YGR149W	GPC1	7
YGR150C	CCM1	7
YGR152C	RSR1	7
YGR154C	GTO1	7
YGR155W	CYS4	7
YGR156W	PTI1	7
YGR157W	CHO2	7
YGR158C	MTR3	7
YGR159C	NSR1	7
YGR162W	TIF4631	7
YGR163W	GTR2	7
YGR165W	MRPS35	7
YGR166W	TRS65	7
YGR167W	CLC1	7
YGR168C	PEX35	7
YGR169C	PUS6	7
YGR169C-A	LSO2	7
YGR170W	PSD2	7
YGR171C	MSM1	7
YGR172C	YIP1	7
YGR173W	RBG2	7
YGR174C	CBP4	7
YGR175C	ERG1	7
YGR177C	ATF2	7
YGR178C	PBP1	7
YGR179C	OKP1	7
YGR180C	RNR4	7
YGR181W	TIM13	7
YGR183C	QCR9	7
YGR184C	UBR1	7
YGR185C	TYS1	7
YGR186W	TFG1	7
YGR187C	HGH1	7
YGR188C	BUB1	7
YGR189C	CRH1	7
YGR191W	HIP1	7
YGR192C	TDH3	7
YGR193C	PDX1	7
YGR194C	XKS1	7
YGR195W	SKI6	7
YGR196C	FYV8	7
YGR197C	SNG1	7
YGR198W	YPP1	7
YGR199W	PMT6	7
YGR202C	PCT1	7
YGR203W	YCH1	7
YGR204W	ADE3	7
YGR205W	TDA10	7
YGR206W	MVB12	7
YGR207C	CIR1	7
YGR208W	SER2	7
YGR209C	TRX2	7
YGR211W	ZPR1	7
YGR212W	SLI1	7
YGR213C	RTA1	7
YGR214W	RPS0A	7
YGR215W	RSM27	7
YGR216C	GPI1	7
YGR217W	CCH1	7
YGR218W	CRM1	7
YGR220C	MRPL9	7
YGR221C	TOS2	7
YGR222W	PET54	7
YGR223C	HSV2	7
YGR224W	AZR1	7
YGR225W	AMA1	7
YGR227W	DIE2	7
YGR227C-A	OTO1	7
YGR229C	SMI1	7
YGR230W	BNS1	7
YGR231C	PHB2	7
YGR232W	NAS6	7
YGR233C	PHO81	7
YGR234W	YHB1	7
YGR235C	MIC26	7
YGR236C	SPG1	7
YGR238C	KEL2	7
YGR239C	PEX21	7
YGR240C	PFK1	7
YGR241C	YAP1802	7
YGR243W	MPC3	7
YGR244C	LSC2	7
YGR245C	SDA1	7
YGR246C	BRF1	7
YGR247W	CPD1	7
YGR248W	SOL4	7
YGR249W	MGA1	7
YGR250C	RIE1	7
YGR251W	NOP19	7
YGR252W	GCN5	7
YGR253C	PUP2	7
YGR254W	ENO1	7
YGR255C	COQ6	7
YGR256W	GND2	7
YGR257C	MTM1	7
YGR258C	RAD2	7
YGR260W	TNA1	7
YGR261C	APL6	7
YGR262C	BUD32	7
YGR263C	SAY1	7
YGR264C	MES1	7
YGR266W		7
YGR267C	FOL2	7
YGR268C	HUA1	7
YGR270W	YTA7	7
YGR271W	SLH1	7
YGR271C-A	EFG1	7
YGR274C	TAF1	7
YGR275W	RTT102	7
YGR276C	RNH70	7
YGR277C	CAB4	7
YGR278W	CWC22	7
YGR279C	SCW4	7
YGR280C	PXR1	7
YGR281W	YOR1	7
YGR282C	BGL2	7
YGR283C		7
YGR284C	ERV29	7
YGR285C	ZUO1	7
YGR286C	BIO2	7
YGR287C	IMA1	7
YGR288W	MAL13	7
YGR289C	MAL11	7
YBR299W	MAL32	7
YBR301W	PAU24	7
YGR295C	COS6	7
YDL244W	THI13	6
YFL055W	AGP3	6
YFL053W	DAK2	6
YFL052W	ZNF1	6
YFL050C	ALR2	6
YFL049W	SWP82	6
YFL048C	EMP47	6
YFL047W	RGD2	6
YFL046W	FMP32	6
YFL045C	SEC53	6
YFL044C	OTU1	6
YFL042C	LAM5	6
YFL041W	FET5	6
YFL039C	ACT1	6
YFL038C	YPT1	6
YFL037W	TUB2	6
YFL036W	RPO41	6
YFL034C-B	MOB2	6
YFL034C-A	RPL22B	6
YFL033C	RIM15	6
YFL031W	HAC1	6
YFL030W	AGX1	6
YFL029C	CAK1	6
YFL028C	CAF16	6
YFL027C	GYP8	6
YFL026W	STE2	6
YFL025C	BST1	6
YFL024C	EPL1	6
YFL023W	BUD27	6
YFL022C	FRS2	6
YFL021W	GAT1	6
YFL020C	PAU5	6
YFL018C	LPD1	6
YFL017W-A	SMX2	6
YFL017C	GNA1	6
YFL016C	MDJ1	6
YFL014W	HSP12	6
YFL013C	IES1	6
YFL011W	HXT10	6
YFL010W-A	AUA1	6
YFL010C	WWM1	6
YFL009W	CDC4	6
YFL008W	SMC1	6
YFL007W	BLM10	6
YFL005W	SEC4	6
YFL004W	VTC2	6
YFL003C	MSH4	6
YFL002C	SPB4	6
YFL001W	DEG1	6
YFR001W	LOC1	6
YFR002W	NIC96	6
YFR003C	YPI1	6
YFR004W	RPN11	6
YFR005C	SAD1	6
YFR007W	YFH7	6
YFR008W	FAR7	6
YFR009W	GCN20	6
YFR010W	UBP6	6
YFR011C	MIC19	6
YFR013W	IOC3	6
YFR014C	CMK1	6
YFR015C	GSY1	6
YFR016C	AIP5	6
YFR017C	IGD1	6
YFR019W	FAB1	6
YFR020W	CSS2	6
